Site,datetime,GPP_daily,ER_daily,K600_daily
POS,2019-03-24 00:00:00,0.134338262,-2.716375012,20.08422867
POS,2019-03-25 00:00:00,0.242685886,-3.231433027,21.5788671
POS,2019-03-26 00:00:00,0.140207645,-2.887166499,19.58803887
POS,2019-03-27 00:00:00,-0.168623236,-3.498312649,14.01665952
POS,2019-03-28 00:00:00,0.109411179,-1.898721957,5.603671978
POS,2019-03-31 00:00:00,0.285431712,-2.444263413,11.95441167
POS,2019-04-01 00:00:00,0.198653056,-4.384343042,21.55018851
POS,2019-04-03 00:00:00,0.036114399,-3.73681212,22.44739673
POS,2019-04-04 00:00:00,0.094784165,-4.012722449,22.9836627
POS,2019-04-05 00:00:00,0.153066652,-4.730753316,24.10920938
POS,2019-04-06 00:00:00,0.141065528,-4.416384961,22.44565415
POS,2019-04-07 00:00:00,0.18915505,-4.349733527,21.33042702
POS,2019-04-08 00:00:00,-0.137323784,-1.625771664,6.591889379
POS,2019-04-09 00:00:00,-0.311662427,-0.746741156,2.626490084
POS,2019-04-10 00:00:00,-0.05557128,-6.1269944,23.42342472
POS,2019-04-12 00:00:00,-0.207916193,-3.520298304,15.229413
POS,2019-04-13 00:00:00,0.308860452,-5.27649971,24.36436074
POS,2019-04-14 00:00:00,0.09724261,-5.577556761,26.06534088
POS,2019-04-15 00:00:00,-0.093827541,-3.541474068,23.64136939
POS,2019-04-16 00:00:00,-0.059200566,-3.35503022,22.30970724
POS,2019-04-17 00:00:00,0.011349437,-3.808010504,23.24392147
POS,2019-04-18 00:00:00,0.09666529,-4.138139044,22.73746273
POS,2019-04-19 00:00:00,0.064452378,-0.325904132,0.465907706
POS,2019-04-20 00:00:00,-0.114069721,-3.206542248,15.166992
POS,2019-04-21 00:00:00,-0.074151868,-4.607400193,27.1865957
POS,2019-04-22 00:00:00,-0.048138939,-4.134252325,25.08685332
POS,2019-04-23 00:00:00,-0.077842222,-4.157687088,25.77962597
POS,2019-04-24 00:00:00,0.012592881,-4.609423013,29.31234665
POS,2019-04-25 00:00:00,0.151478742,-4.758455276,28.73619079
POS,2019-04-26 00:00:00,-0.111825319,-2.908943299,10.10644974
POS,2019-04-27 00:00:00,-0.047954535,-5.334744238,28.80489213
POS,2019-04-28 00:00:00,-0.010651932,-5.074237594,28.99891987
POS,2019-04-29 00:00:00,-0.019511091,-5.397577617,30.55170075
POS,2019-04-30 00:00:00,-0.031491125,-5.276636044,29.07053127
POS,2019-05-01 00:00:00,-8.65E-04,-5.567214399,30.57465289
POS,2019-05-02 00:00:00,0.260437577,-4.838496199,21.03622765
POS,2019-05-03 00:00:00,-0.06184356,-2.554496519,9.601743479
POS,2019-05-04 00:00:00,0.037196986,-8.093181523,34.68117723
POS,2019-05-05 00:00:00,-0.277841299,-3.592390292,14.72900217
POS,2019-05-06 00:00:00,0.047358451,-7.936013673,36.25089863
POS,2019-05-07 00:00:00,0.017980775,-7.148105125,37.85669425
POS,2019-05-08 00:00:00,0.014940415,-6.409311815,36.95202359
POS,2019-05-09 00:00:00,0.182822678,-6.792031017,39.62582175
POS,2019-05-10 00:00:00,0.194395355,-6.185706468,35.66163464
POS,2019-05-11 00:00:00,0.145568608,-5.913190425,33.75464486
POS,2019-05-12 00:00:00,0.276499019,-6.384140439,35.4906548
POS,2019-05-13 00:00:00,0.097793728,-5.684199966,34.24555865
POS,2019-05-14 00:00:00,-0.010131183,-4.611462598,31.69328948
POS,2019-05-15 00:00:00,0.104783801,-4.057408051,29.0358035
